Usage statistics from between 23:00 and 04:00 each day
,HS Main (kWh),HS DL Lighting (kWh),HS DHB Plugload (kWh),HS-Kitchen Emergency (kWh),HS DG Gym (kWh),HS M1 Chillers (kWh),HS CC (kWh)
2016-01-17,708.0,120.5,49.879999999990105,246.60000000000582,175.79999999998836,0.0,127.19999999999709
2016-01-18,878.0,123.59999999997672,49.919999999998254,264.0,184.30000000001746,0.0,270.3000000000029
2016-01-19,839.0,129.29999999998836,46.05000000000291,249.40000000002328,186.60000000000582,0.0,241.60000000000582
2016-01-20,650.0,131.0,48.50999999999476,244.30000000001746,125.89999999999418,0.0,111.30000000000291
2016-01-21,667.0,129.0,45.19000000000233,252.60000000000582,81.0,0.0,169.5
2016-01-22,656.0,119.0,43.4600000000064,249.70000000001164,124.5,0.0,130.3000000000029
2016-01-23,734.0,126.29999999998836,43.61000000000058,252.40000000002328,178.39999999999418,0.0,146.09999999999127
2016-01-24,712.0,153.79999999998836,44.05000000000291,252.70000000001164,144.89999999999418,0.00999999999839929,128.6999999999971
2016-01-25,531.0,131.5,46.920000000012806,231.70000000001164,80.20000000001164,0.0,49.10000000000582
2016-01-26,426.0,123.89999999999418,44.26000000000931,128.29999999998836,83.5,0.18999999999869033,48.30000000001746
2016-01-27,534.0,124.70000000001164,45.11999999999534,233.10000000000582,84.30000000001746,0.0,54.70000000001164
2016-01-28,529.0,127.80000000001746,47.86000000000058,232.79999999998836,82.20000000001164,0.06999999999970896,44.89999999999418
2016-01-29,489.0,122.19999999998254,42.36000000000058,187.39999999999418,92.10000000000582,0.06999999999970896,49.29999999998836
2016-01-30,435.0,119.0,42.5399999999936,140.0,83.09999999997672,0.1099999999969441,52.5
2016-01-31,484.0,116.30000000001746,42.45999999999185,133.59999999997672,150.10000000000582,0.13999999999941792,45.29999999998836
2016-02-01,502.0,130.69999999998254,46.30000000000291,201.40000000002328,82.39999999999418,0.07999999999810825,46.0
2016-02-02,529.0,132.60000000000582,46.58999999999651,232.89999999999418,77.60000000000582,0.07999999999810825,45.79999999998836
2016-02-03,444.0,130.5,54.64999999999418,140.89999999999418,73.89999999999418,0.11999999999898137,45.70000000001164
2016-02-04,439.0,131.79999999998836,44.36999999999534,138.20000000001164,82.29999999998836,0.12000000000261934,45.10000000000582
2016-02-05,677.0,125.59999999997672,43.939999999987776,245.29999999998836,76.70000000001164,0.0,195.09999999997672
2016-02-06,577.0,127.60000000000582,45.11000000000058,235.90000000002328,108.39999999999418,0.0,68.39999999999418
2016-02-07,537.0,126.20000000001164,43.93000000000757,176.70000000001164,105.5,0.06999999999970896,90.5
2016-02-08,757.0,144.89999999999418,53.86999999999534,234.0,173.30000000001746,0.0,162.5
2016-02-09,581.0,129.60000000000582,43.15000000000873,236.39999999999418,91.89999999999418,0.0,89.20000000001164
2016-02-10,529.0,129.89999999999418,48.01000000000931,225.5,80.80000000001746,0.0,51.60000000000582
2016-02-11,711.0,126.60000000000582,47.029999999998836,245.89999999999418,165.19999999998254,0.0,137.5
2016-02-12,663.0,121.80000000001746,40.279999999998836,267.3999999999942,85.5,0.0,157.30000000001746
2016-02-13,802.0,117.29999999998836,43.30000000000291,263.20000000001164,190.60000000000582,0.0,200.70000000001164
2016-02-14,836.0,175.69999999998254,42.020000000004075,278.4000000000233,156.5,0.0,196.60000000000582
2016-02-15,564.0,152.70000000001164,43.99000000000524,221.5,100.39999999999418,0.0,53.5
2016-02-16,588.0,150.59999999997672,44.179999999993015,184.39999999999418,168.79999999998836,0.09999999999854481,48.5
2016-02-17,593.0,157.30000000001746,41.2899999999936,247.29999999998836,95.79999999998836,0.0,61.89999999999418
